"acceptability"	"important"	"direct"	"expensive"	"previoustrolley"	"gender"	"age"	"topiccomp"	"expensivecomp"	"importancecomp"	"failed"
"117"	7	1	1	2	2	1	25	4	2	2	NA
"118"	5	1	1	2	2	1	25	4	2	2	NA
"119"	3	1	1	2	1	1	24	4	2	2	NA
"120"	7	1	1	2	2	1	41	4	2	2	NA
"121"	9	1	1	2	2	1	42	4	2	2	NA
"122"	3	1	1	2	2	1	27	4	2	2	NA
"123"	7	1	1	2	2	1	20	4	2	2	NA
"124"	6	1	1	2	2	1	23	4	2	2	NA
"125"	7	1	1	2	1	2	34	4	2	2	NA
"126"	9	1	1	2	2	2	33	4	2	2	NA
"127"	7	1	1	2	2	2	21	4	2	2	NA
"128"	8	1	1	2	2	1	28	4	2	2	NA
"129"	7	1	1	2	2	1	18	4	2	2	NA
"130"	3	1	1	2	2	1	43	4	2	2	NA
"131"	7	1	1	2	2	1	32	4	2	2	NA
"132"	9	1	1	2	1	2	28	4	2	2	NA
"133"	7	1	1	2	2	1	48	4	2	2	NA
"134"	7	1	1	2	2	2	22	4	2	2	NA
"135"	9	1	1	2	2	1	40	4	2	2	NA
"136"	9	1	1	2	2	1	22	4	2	2	NA
"137"	7	1	1	2	1	1	25	4	2	2	NA
"138"	3	1	1	2	2	1	26	4	2	2	NA
"139"	6	1	1	2	2	2	29	4	2	2	NA
"140"	6	1	1	2	2	2	29	4	2	2	NA
"141"	7	1	1	2	1	2	25	4	2	2	NA
"142"	7	1	1	2	2	2	40	4	2	2	NA
"143"	7	1	1	2	2	1	31	4	2	2	NA
"144"	7	1	1	2	2	1	21	4	2	2	NA
"145"	7	1	1	2	2	2	31	4	2	2	NA
"146"	3	1	1	2	2	1	66	4	2	2	NA
"147"	7	1	1	2	2	1	76	4	2	2	NA
"148"	9	1	1	2	1	1	33	4	2	2	1
"149"	5	1	1	2	1	1	43	4	2	2	NA
"150"	6	1	1	2	2	1	22	4	2	2	NA
"151"	7	1	1	2	1	1	34	4	2	2	NA
"152"	7	1	1	2	1	1	43	4	2	2	NA
"153"	9	1	1	2	1	1	32	4	2	2	NA
"154"	7	1	1	2	NA	1	39	4	2	2	NA
"155"	8	1	1	2	2	1	37	4	2	2	NA
