"acceptability"	"important"	"direct"	"expensive"	"previoustrolley"	"gender"	"age"	"topiccomp"	"expensivecomp"	"importancecomp"	"failed"
"506"	7	1	2	2	2	2	52	4	2	2	NA
"507"	5	1	2	2	2	1	31	4	2	2	NA
"508"	9	1	2	2	1	1	25	4	2	2	NA
"509"	8	1	2	2	1	2	24	4	2	2	NA
"510"	7	1	2	2	2	1	20	4	2	2	NA
"511"	9	1	2	2	1	1	48	4	2	2	NA
"512"	9	1	2	2	2	1	44	4	2	2	NA
"513"	9	1	2	2	2	1	40	4	2	2	NA
"514"	3	1	2	2	1	2	31	4	2	2	NA
"515"	9	1	2	2	2	1	35	4	2	2	NA
"516"	9	1	2	2	2	2	36	4	2	2	NA
"517"	7	1	2	2	1	1	27	4	2	2	NA
"518"	8	1	2	2	1	2	26	4	2	2	NA
"519"	9	1	2	2	1	2	61	4	2	2	NA
"520"	5	1	2	2	1	1	31	4	1	1	1
"521"	7	1	2	2	2	2	31	4	2	2	NA
"522"	7	1	2	2	2	2	29	4	2	2	NA
"523"	7	1	2	2	1	2	21	4	2	2	1
"524"	8	1	2	2	2	1	49	4	2	2	NA
"525"	9	1	2	2	1	1	27	4	2	2	NA
"526"	5	1	2	2	2	1	22	4	2	2	NA
"527"	8	1	2	2	2	1	28	4	2	2	NA
"528"	8	1	2	2	1	1	23	4	2	2	NA
"529"	6	1	2	2	2	1	30	4	2	2	NA
"530"	7	1	2	2	2	1	33	4	2	2	NA
"531"	9	1	2	2	1	1	20	4	2	2	NA
"532"	7	1	2	2	1	2	28	4	2	2	NA
"533"	9	1	2	2	1	2	28	4	2	2	NA
"534"	7	1	2	2	2	1	30	4	2	2	NA
"535"	8	1	2	2	2	2	24	4	2	2	NA
"536"	9	1	2	2	2	1	31	4	2	2	NA
"537"	7	1	2	2	2	1	26	4	2	2	NA
"538"	7	1	2	2	2	2	20	4	2	2	NA
"539"	8	1	2	2	2	2	29	4	2	2	NA
"540"	9	1	2	2	2	1	21	4	2	2	NA
"541"	8	1	2	2	2	2	37	4	2	2	NA
"542"	7	1	2	2	1	2	42	4	2	2	NA
"543"	7	1	2	2	2	1	43	4	2	2	NA
"544"	9	1	2	2	1	2	40	4	2	2	NA
"545"	7	1	2	2	2	2	35	4	2	2	NA
"546"	9	1	2	2	1	1	29	4	2	2	NA
"547"	9	1	2	2	2	1	47	4	2	2	NA
"548"	9	1	2	2	1	1	24	4	2	2	NA
"549"	7	1	2	2	1	1	27	4	2	2	NA
"550"	3	1	2	2	2	2	51	4	2	2	NA
"551"	7	1	2	2	2	1	45	4	2	2	NA
"552"	9	1	2	2	2	1	37	4	2	2	NA
"553"	9	1	2	2	1	2	38	4	2	2	NA
"554"	7	1	2	2	1	1	24	4	2	2	NA
"555"	7	1	2	2	2	1	27	4	2	2	NA
"556"	9	1	2	2	1	1	27	4	2	2	NA
"557"	9	1	2	2	2	1	29	4	2	2	NA
"558"	9	1	2	2	2	1	28	4	2	2	NA
"559"	7	1	2	2	2	1	25	4	2	2	NA
"560"	5	1	2	2	1	1	32	4	2	2	NA
"561"	7	1	2	2	1	2	67	4	2	2	NA
"562"	7	1	2	2	2	1	37	4	2	2	NA
"563"	7	1	2	2	2	1	33	4	2	2	NA
"564"	9	1	2	2	2	1	26	4	2	2	NA
"565"	9	1	2	2	1	1	31	4	2	2	NA
"566"	9	1	2	2	2	2	32	4	2	2	NA
"567"	7	1	2	2	2	1	34	4	2	2	NA
"568"	5	1	2	2	1	2	26	4	2	2	NA
"569"	7	1	2	2	1	2	29	4	2	2	NA
"570"	7	1	2	2	1	1	63	4	2	2	NA
"571"	9	1	2	2	2	1	57	4	2	2	NA
"572"	7	1	2	2	1	1	40	4	2	2	NA
"573"	9	1	2	2	1	2	31	4	2	2	NA
"574"	9	1	2	2	2	1	30	4	2	2	NA
"575"	9	1	2	2	2	1	27	4	2	2	NA
"576"	7	1	2	2	2	2	50	4	2	2	NA
"577"	6	1	2	2	2	2	35	4	2	2	NA
"578"	1	1	2	2	2	1	31	4	2	2	NA
"579"	9	1	2	2	2	1	28	4	2	2	NA
"580"	7	1	2	2	2	1	31	4	2	2	1
"581"	5	1	2	2	2	1	25	4	1	1	1
"582"	7	1	2	2	1	2	32	4	2	2	NA
"583"	7	1	2	2	1	2	31	4	2	2	NA
"584"	7	1	2	2	2	2	26	4	2	2	NA
"585"	9	1	2	2	2	1	24	4	2	2	NA
"586"	9	1	2	2	2	1	26	4	2	2	NA
"587"	7	1	2	2	2	1	28	4	2	2	NA
"588"	9	1	2	2	1	1	42	4	2	2	NA
"589"	9	1	2	2	1	1	59	4	2	2	NA
"590"	9	2	2	1	1	1	43	4	1	1	NA
"591"	7	2	2	1	1	1	49	4	2	2	1
"592"	7	2	2	1	1	2	31	4	1	1	NA
"593"	9	2	2	1	1	1	32	4	2	2	1
"594"	9	2	2	1	2	1	30	4	2	2	1
"595"	9	2	2	1	2	2	34	4	2	2	1
"596"	9	2	2	1	1	2	38	4	1	1	NA
"597"	7	2	2	1	2	2	53	4	1	1	NA
"598"	7	2	2	1	2	2	55	4	1	1	NA
"599"	7	2	2	1	2	1	24	4	1	1	NA
"600"	7	2	2	1	2	1	26	4	1	1	NA
"601"	7	2	2	1	2	1	38	4	1	1	NA
"602"	7	2	2	1	1	2	46	4	1	1	NA
"603"	7	2	2	1	2	1	42	4	1	1	NA
"604"	9	2	2	1	2	2	20	4	1	1	NA
"605"	9	2	2	1	2	1	20	4	1	1	NA
"606"	9	2	2	1	1	1	41	4	1	1	NA
"607"	7	2	2	1	1	1	27	4	1	1	1
"608"	3	2	2	1	2	1	48	4	1	1	NA
"609"	7	2	2	1	1	1	29	4	1	1	NA
"610"	2	2	2	1	2	1	33	4	2	2	1
"611"	7	2	2	1	2	2	34	4	1	1	NA
"612"	9	2	2	1	1	1	38	4	1	1	NA
"613"	9	2	2	1	2	1	36	4	1	1	NA
"614"	5	2	2	1	2	1	31	4	1	1	NA
"615"	5	2	2	1	2	1	28	4	2	2	1
"616"	4	2	2	1	2	1	38	4	1	1	NA
"617"	8	2	2	1	1	1	38	4	2	2	1
"618"	5	2	2	1	1	1	18	4	1	1	NA
"619"	9	2	2	1	2	1	30	4	1	1	NA
"620"	9	2	2	1	2	1	22	4	1	1	NA
"621"	9	2	2	1	2	1	23	4	1	1	NA
"622"	9	2	2	1	2	1	34	4	2	2	1
"623"	7	2	2	1	2	2	22	4	1	1	NA
"624"	8	2	2	1	1	1	19	4	1	1	NA
"625"	9	2	2	1	1	1	45	4	1	1	NA
"626"	9	2	2	1	1	1	34	4	2	2	1
"627"	8	2	2	1	2	2	27	4	1	1	NA
"628"	9	2	2	1	1	1	31	4	1	1	NA
"629"	3	2	2	1	2	2	45	4	1	1	NA
"630"	7	2	2	1	2	1	22	4	1	1	NA
"631"	9	2	2	1	2	1	38	4	1	1	NA
"632"	9	2	2	1	2	1	22	4	2	2	1
"633"	9	2	2	1	2	1	25	4	1	1	NA
"634"	9	2	2	1	NA	1	31	4	1	1	NA
"635"	1	2	2	1	1	2	19	4	1	1	NA
"636"	9	2	2	1	2	2	32	4	1	1	NA
"637"	7	2	2	1	2	1	26	4	2	2	1
"638"	9	2	2	1	2	1	30	4	1	1	NA
"639"	5	2	2	1	2	2	25	4	2	2	1
"640"	9	2	2	1	2	1	31	4	1	1	NA
"641"	7	2	2	1	1	1	28	4	2	2	1
"642"	9	2	2	1	1	1	30	4	1	1	NA
"643"	7	2	2	1	1	1	21	4	1	1	NA
"644"	6	2	2	1	1	1	26	4	1	1	NA
"645"	8	2	2	1	2	1	26	4	1	1	NA
"646"	9	2	2	1	2	1	26	4	1	1	NA
"647"	7	2	2	1	2	1	32	4	1	1	NA
"648"	7	2	2	1	2	2	31	4	1	1	1
"649"	9	2	2	1	2	2	27	4	1	1	NA
"650"	7	2	2	1	2	2	21	4	1	1	NA
"651"	8	2	2	1	2	2	28	4	1	1	NA
"652"	7	2	2	1	1	2	25	4	1	1	NA
"653"	6	2	2	1	2	1	22	4	1	1	1
"654"	9	2	2	1	1	2	34	4	1	1	NA
"655"	7	2	2	1	2	2	30	4	1	1	NA
"656"	7	2	2	1	1	2	26	4	1	1	NA
"657"	9	2	2	1	2	1	34	4	1	1	1
"658"	7	2	2	1	2	1	37	4	1	1	NA
"659"	9	2	2	1	2	1	28	4	2	2	1
"660"	7	2	2	1	1	2	26	4	1	1	NA
"661"	9	2	2	1	2	2	45	4	1	1	NA
"662"	5	2	2	1	2	1	24	4	1	1	NA
"663"	5	2	2	1	2	1	28	4	1	1	NA
"664"	6	2	2	1	2	1	42	4	1	1	NA
"665"	8	2	2	1	2	NA	23	4	1	1	NA
"666"	7	2	2	1	2	1	23	4	1	1	1
"667"	9	2	2	1	1	1	34	4	1	1	NA
"668"	7	2	2	1	1	1	27	4	1	1	NA
"669"	7	2	2	1	1	1	26	4	1	1	NA
"670"	7	2	2	1	1	1	43	4	1	1	NA
"671"	7	2	2	1	2	1	38	4	1	1	NA
"672"	7	2	2	1	2	1	57	4	1	1	NA
"673"	9	2	2	1	1	2	32	4	1	1	NA
"674"	9	2	2	1	2	1	32	4	1	1	1
"675"	7	2	2	1	1	2	30	4	1	1	NA
"676"	4	2	2	1	2	1	29	4	2	2	1
"677"	7	2	2	1	2	1	47	4	1	1	NA
"678"	9	2	2	1	1	1	40	4	1	1	NA
"679"	7	2	2	1	2	1	48	4	2	2	1
"680"	7	2	2	1	2	1	31	4	2	2	1
"681"	5	2	2	1	1	2	37	4	1	1	NA
"682"	7	2	2	1	1	1	27	4	1	1	NA
"683"	5	2	2	1	1	2	34	4	2	2	1
"684"	7	2	2	1	2	1	27	4	1	1	NA
"685"	9	2	2	1	2	1	22	4	2	2	1
"686"	9	2	2	1	2	1	44	4	1	1	NA
"687"	8	2	2	1	2	2	28	4	1	1	NA
"688"	7	2	2	1	2	1	21	4	1	1	1
"689"	9	2	2	2	1	1	43	4	2	2	NA
"690"	9	2	2	2	1	1	27	4	2	2	NA
"691"	7	2	2	2	2	2	34	4	2	2	NA
"692"	7	2	2	2	1	1	55	4	2	2	NA
"693"	7	2	2	2	2	2	26	4	2	2	NA
"694"	3	2	2	2	1	2	28	4	2	2	NA
"695"	7	2	2	2	2	2	37	4	2	2	NA
"696"	8	2	2	2	2	1	19	4	2	2	NA
"697"	5	2	2	2	2	1	22	4	2	2	NA
"698"	8	2	2	2	2	2	24	4	2	2	NA
"699"	5	2	2	2	2	1	24	4	2	2	NA
"700"	9	2	2	2	2	1	26	4	2	2	NA
"701"	9	2	2	2	2	1	31	4	2	2	NA
"702"	9	2	2	2	2	1	23	4	2	2	NA
"703"	7	2	2	2	1	2	54	4	2	2	1
"704"	9	2	2	2	2	2	25	4	2	2	NA
"705"	7	2	2	2	2	1	48	4	2	2	NA
"706"	9	2	2	2	1	2	37	4	2	2	NA
"707"	9	2	2	2	1	2	59	4	2	2	NA
"708"	9	2	2	2	1	1	29	4	2	2	NA
"709"	8	2	2	2	2	1	24	4	2	2	NA
"710"	7	2	2	2	2	2	24	4	2	2	NA
"711"	9	2	2	2	1	1	65	4	2	2	NA
"712"	9	2	2	2	1	2	26	4	2	2	NA
"713"	6	2	2	2	1	1	38	4	2	2	NA
"714"	8	2	2	2	2	1	26	4	2	2	NA
"715"	8	2	2	2	1	1	27	4	2	2	NA
"716"	9	2	2	2	2	1	36	4	2	2	NA
"717"	9	2	2	2	2	1	34	4	2	2	NA
"718"	7	2	2	2	2	1	32	4	2	2	NA
"719"	9	2	2	2	2	1	23	4	2	2	NA
"720"	8	2	2	2	2	2	45	4	2	2	NA
"721"	7	2	2	2	2	2	45	4	2	2	NA
"722"	9	2	2	2	2	2	28	4	2	2	NA
"723"	8	2	2	2	2	2	31	4	2	2	NA
"724"	9	2	2	2	2	1	29	4	2	2	NA
"725"	9	2	2	2	2	1	34	4	2	2	NA
"726"	7	2	2	2	1	2	63	4	2	2	NA
"727"	7	2	2	2	2	2	27	4	2	2	NA
"728"	9	2	2	2	1	2	63	4	2	2	NA
"729"	8	2	2	2	2	1	24	4	2	2	NA
"730"	7	2	2	2	1	1	31	4	2	2	NA
"731"	8	2	2	2	1	2	61	4	2	2	NA
"732"	7	2	2	2	2	2	30	4	2	2	NA
"733"	9	2	2	2	2	1	40	4	2	2	NA
"734"	9	2	2	2	2	2	49	4	2	2	NA
"735"	9	2	2	2	1	2	31	4	2	2	NA
"736"	7	2	2	2	2	2	22	4	2	2	NA
"737"	6	2	2	2	1	1	26	4	2	2	NA
"738"	4	2	2	2	1	2	25	4	2	2	NA
"739"	7	2	2	2	2	1	27	4	2	2	1
"740"	9	2	2	2	1	2	26	4	2	2	NA
"741"	7	2	2	2	2	1	29	4	2	2	NA
"742"	6	2	2	2	2	2	29	4	2	2	NA
"743"	5	2	2	2	2	1	25	4	1	1	1
"744"	7	2	2	2	2	2	22	4	2	2	NA
"745"	9	2	2	2	2	1	24	4	2	2	NA
"746"	7	2	2	2	2	1	21	4	2	2	NA
"747"	7	2	2	2	2	2	35	4	2	2	NA
"748"	9	2	2	2	1	2	38	4	2	2	NA
"749"	9	2	2	2	1	2	29	4	2	2	NA
"750"	1	2	2	2	1	2	21	4	2	2	NA
"751"	8	2	2	2	1	1	34	4	2	2	NA
"752"	9	2	2	2	2	1	30	4	2	2	NA
"753"	7	2	2	2	1	2	53	4	2	2	NA
"754"	9	2	2	2	2	1	28	4	2	2	NA
"755"	7	2	2	2	2	2	32	4	2	2	NA
"756"	6	2	2	2	2	1	38	4	2	2	NA
"757"	9	2	2	2	1	1	25	4	2	2	NA
"758"	3	2	2	2	2	1	33	4	2	2	NA
"759"	9	2	2	2	2	1	35	4	2	2	NA
"760"	7	2	2	2	2	2	43	4	2	2	NA
"761"	9	2	2	2	2	1	48	4	2	2	NA
"762"	9	2	2	2	2	1	29	4	2	2	NA
"763"	9	2	2	2	2	2	27	4	2	2	NA
"764"	8	2	2	2	2	2	22	4	2	2	NA
"765"	9	2	2	2	2	2	24	4	2	2	NA
"766"	9	2	2	2	2	2	27	4	2	2	NA
"767"	9	2	2	2	1	1	39	4	2	2	NA
"768"	9	2	2	2	2	1	27	4	2	2	NA
"769"	9	2	2	2	2	2	42	4	2	2	NA
"770"	9	2	2	2	2	1	34	4	2	2	NA
"771"	9	2	2	2	2	1	43	4	2	2	NA
"772"	9	2	2	2	2	1	36	4	2	2	NA
"773"	9	2	2	2	2	2	45	4	2	2	NA
"774"	5	2	2	2	2	1	27	4	2	2	NA
"775"	7	2	2	2	1	2	35	4	2	2	NA
"776"	9	2	2	2	1	1	20	4	2	2	NA
"777"	9	2	2	2	2	1	21	4	2	2	NA
"778"	8	2	2	2	2	2	23	4	2	2	NA
"779"	7	2	2	2	1	1	29	4	2	2	NA
"780"	9	2	2	2	1	1	36	4	2	2	NA
"781"	9	2	2	2	2	1	28	4	2	2	NA
"782"	3	2	2	2	1	1	28	4	2	2	NA
"783"	7	2	2	2	2	1	27	4	2	2	NA
"784"	1	2	2	2	1	1	38	4	2	2	NA
"785"	3	2	2	2	2	1	34	4	2	2	NA
"786"	7	2	2	2	1	1	46	4	1	1	1
"787"	3	2	2	2	1	2	25	4	2	2	NA
"788"	9	2	2	2	2	1	60	4	2	2	NA
"789"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"790"	NA	1	NA	1	1	1	NA	4	1	1	NA
"791"	NA	2	NA	2	2	2	NA	NA	2	2	NA
